ID,gender,age,ethnicity,highest.qual,income,plate.size,kcal.consumed,g.consumed,g.served, meal.duration ,n.bites
120,1,23,1,4,,0,1569.26,1043.88,1044.15,13.6,115
121,1,36,1,3,13,1,791.07,526.22,546,11.28,61
122,1,49,1,3,12,0,270.5,179.94,180.41,2.05,19
123,1,38,1,4,11,1,910.73,605.82,607.46,,
124,1,19,1,4,8,1,931.34,619.53,625.16,9.1,66
125,1,30,1,5,9,0,378.44,251.74,252.18,7.17,54
126,1,41,2,3,14,0,881.7,586.51,586.76,14.93,108
127,1,24,1,6,7,0,715.95,476.25,477.04,18.8,32
128,1,22,1,5,5,1,-999,,,7.07,41
129,2,48,5,6,13,1,226.29,150.53,161.25,6.17,15
130,1,23,1,6,7,1,865.28,575.59,576.75,5.92,39
131,1,61,1,6,5,0,515.5,342.91,346.2,4.07,21
132,1,30,,,8,0,452.37,300.92,355.55,4.33,20
133,2,18,2,1,3,0,671.82,446.9,455.66,4.3,38
134,1,33,1,1,1,1,711.69,473.42,476.3,6.67,43
